description	price	prime	url	stars	num_reviews
ASUS DUAL NVIDIA GeForce RTX 4060 OC Edition Scheda Grafica, 8 GB GDDR6 128-bit 17 Gbps PCIE 4.0, GPU Tweak III, DUAL-RTX-4060-O8G	346,00	False	https://www.amazon.it/ASUS-GeForce-Grafica-128-bit-DUAL-RTX-4060-O8G/dp/B0C8JT7K1M/ref=sr_1_5?keywords=gpu&qid=1699106662&sr=8-5	4,5	48
Gigabyte NVIDIA GeForce RTX 3060 GAMING OC V2 Scheda grafica - 12GB GDDR6, 192-bit, PCI-E 4.0, 1837MHz Core Clock, RGB, 2x DP 1.4, 2 x HDMI 2.1, NVIDIA Ampere - GV-N3060GAMING OC-8GD	327,00	False	https://www.amazon.it/Gigabyte-GeForce-3060-GAMING-V2/dp/B096Y2TYKV/ref=sr_1_6?keywords=gpu&qid=1699106662&sr=8-6	4,7	1.127
Nuwo Scheda Video RX580 AMD RADEON RX 580 2048SP, 8 GB GDDR5, 256 bit, 1284MHz, Scheda Grafica GPU per PC Gaming, DVI, HDMI, DisplayPort, PCI Express 3.0 x16, Supporta DirectX 12, Bulk	109,90	True	https://www.amazon.it/Nuwo-1284MHz-Grafica-DisplayPort-Supporta/dp/B0CDQ78HWC/ref=sr_1_7?keywords=gpu&qid=1699106662&sr=8-7	3,9	15
MSI Radeon RX 6650 XT MECH 2X 8G OC Scheda Video - AMD RX 6650 XT, GPU 2447/2669 MHz, 8000 MB di Memoria DDR6, Velocità di Memoria 17500 MHz, Bus di Memoria 128bit	285,54	False	https://www.amazon.it/MSI-Radeon-6650-MECH-GDDR6/dp/B09YHXT12P/ref=sr_1_8?keywords=gpu&qid=1699106662&sr=8-8	4,5	2.018
ASUS Dual AMD Radeon RX 6600 V2 Scheda Grafica, 8 GB GDDR6 128-bit 14 Gbps PCIE 4.0, GPU Tweak III, DUAL-RX6600-8G-V2	250,31	False	https://www.amazon.it/ASUS-Radeon-Grafica-128-bit-DUAL-RX6600-8G-V2/dp/B0BRYR7QPV/ref=sr_1_9?keywords=gpu&qid=1699106662&sr=8-9	4,4	31
MSI GeForce RTX 4060 GAMING X 8G Scheda Grafica - RTX 4060 GPU, 8GB GDDR6 (17Gbps/128-bit), PCIe 4.0 - TWIN FROZR 9 (2 x TORX Fan 5.0), RGB - HDMI 2.1, DisplayPort 1.4a	370,04	False	https://www.amazon.it/MSI-GeForce-GAMING-Scheda-Grafica/dp/B0C7WCKXB6/ref=sr_1_10?keywords=gpu&qid=1699106662&sr=8-10	4,7	218
Nuwo Scheda Grafica GT730 NVIDIA GeForce GT 730, 2 GB DDR3, 128 bit, 700MHz, Scheda Video GPU a Basso Profilo per PC Gaming, DVI, HDMI, VGA, PCI Express 2.0, Supporta DirectX 11, Bulk	49,90	True	https://www.amazon.it/Nuwo-Grafica-GeForce-Profilo-Supporta/dp/B0C6MZ6QMQ/ref=sr_1_11?keywords=gpu&qid=1699106662&sr=8-11	4,3	34
ASUS TUF Gaming AMD Radeon RX 6500 XT OC Edition Scheda Grafica, AMD RDNA 2, PCIe 4.0, 4GB GDDR6, HDMI 2.1, DisplayPort 1.4a, Ventole Axial Tech e Doppi Cuscinetti a Sfera, GPU Tweak II, Nero	179,65	True	https://www.amazon.it/ASUS-Grafica-DisplayPort-Ventole-Cuscinetti/dp/B09PRRQ3QC/ref=sr_1_12?keywords=gpu&qid=1699106662&sr=8-12	4,1	76
Asus Dual NVIDIA GeForce RTX 3060 V2 OC Edition Scheda Grafica, 12GB GDDR6 192-bit 15 Gbps PCIE 4.0, GPU NVIDIA Ampere, DUAL-RTX3060-O12G-V2	334,94	False	https://www.amazon.it/ASUS-GeForce-Grafica-192-bit-DUAL-RTX3060-O12G-V2/dp/B096658ZWP/ref=sr_1_13?keywords=gpu&qid=1699106662&sr=8-13	4,7	1.145
ASUS Phoenix AMD Radeon RX 550 Scheda Grafica, 4GB GDDR5, PCIe 3.0, HDMI, DisplayPort, DVI-D, Resistenza Alla Polvere IPX5, Ventole con Doppio Cuscinetto a Sfera, Tecnologia Auto-Extreme, Nero	112,78	True	https://www.amazon.it/ASUS-DisplayPort-Resistenza-Cuscinetto-Auto-Extreme/dp/B089WFBK4H/ref=sr_1_14?keywords=gpu&qid=1699106662&sr=8-14	4,6	239
